,ID,Name,Type,Description,Parent Model,Model ID,Stereotypes,Visibility,Abstract,Leaf,Root,Active,Business model,Transit From,Transit To,Initial value,Multiplicity,Type Modifier,Scope,Aggregation,Derived,Visible,Setter,Getter,Unique,Template Info,General,Specific,Substitutable,From,From Role,From Multiplicity,From Navigable,From Aggregation Kind,To,To Role,To Multiplicity,To Navigable,To Aggregation Kind,ORM Collection Type,Diagram ID,Diagram Name,Parent ID,Parent Name,Delete ?
Diagram,1,XL_1.1,ClassDiagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
Class,2,Class35,,,,3,,public,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,XL_1.1,,,No
Attribute,4,v1,,,,4,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,3,Class35,No
Class,5,Class34,,,,6,,public,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,XL_1.1,,,No
Attribute,7,v1,,,,7,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,6,Class34,No
Attribute,8,v2,,,,8,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,6,Class34,No
Class,9,Class33,,,,10,,public,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,XL_1.1,,,No
Attribute,11,v1,,,,11,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,10,Class33,No
Attribute,12,v2,,,,12,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,10,Class33,No
Class,13,Class32,,,,14,,public,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,XL_1.1,,,No
Attribute,15,v1,,,,15,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,14,Class32,No
Class,16,Class31,,,,17,,public,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,XL_1.1,,,No
Attribute,18,v1,,,,18,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,17,Class31,No
Class,19,Class30,,,,20,,public,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,XL_1.1,,,No
Attribute,21,v1,,,,21,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,20,Class30,No
Attribute,22,v2,,,,22,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,20,Class30,No
Attribute,23,v3,,,,23,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,20,Class30,No
Attribute,24,v4,,,,24,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,20,Class30,No
Attribute,25,v5,,,,25,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,20,Class30,No
Class,26,Class29,,,,27,,public,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,XL_1.1,,,No
Attribute,28,v1,,,,28,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,27,Class29,No
Attribute,29,v2,,,,29,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,27,Class29,No
Class,30,Class28,,,,31,,public,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,XL_1.1,,,No
Attribute,32,v1,,,,32,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,31,Class28,No
Class,33,Class27,,,,34,,public,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,XL_1.1,,,No
Attribute,35,v1,,,,35,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,34,Class27,No
Class,36,Class26,,,,37,,public,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,XL_1.1,,,No
Attribute,38,v1,,,,38,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,37,Class26,No
Attribute,39,v2,,,,39,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,1,XL_1.1,37,Class26,No
Class,40,Class25,,,,41,,public,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,XL_1.1,,,No
