,ID,Name,Type,Description,Parent Model,Model ID,Stereotypes,Visibility,Abstract,Leaf,Root,Active,Business model,Transit From,Transit To,Initial value,Multiplicity,Type Modifier,Scope,Aggregation,Derived,Visible,Setter,Getter,Unique,Template Info,General,Specific,Substitutable,From,From Role,From Multiplicity,From Navigable,From Aggregation Kind,To,To Role,To Multiplicity,To Navigable,To Aggregation Kind,ORM Collection Type,Diagram ID,Diagram Name,Parent ID,Parent Name,Delete ?
Diagram,2,SMALL_1.1,ClassDiagram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
Class,3,Class,,,,4,,public,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SMALL_1.1,,,No
Attribute,5,v1,,,,5,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,4,Class,No
Attribute,6,v2,,,,6,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,4,Class,No
Class,7,Class4,,,,8,,public,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SMALL_1.1,,,No
Attribute,9,var1,,,,9,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,8,Class4,No
Attribute,10,v4,,,,10,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,8,Class4,No
Attribute,11,v5,,,,11,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,8,Class4,No
Class,12,Class3,,,,13,,public,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SMALL_1.1,,,No
Attribute,14,var2,,,,14,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,13,Class3,No
Attribute,15,v3,,,,15,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,13,Class3,No
Attribute,16,v4,,,,16,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,13,Class3,No
Attribute,17,v5,,,,17,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,13,Class3,No
Attribute,18,v6,,,,18,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,13,Class3,No
Attribute,19,v7,,,,19,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,13,Class3,No
Attribute,20,var1,,,,20,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,13,Class3,No
Class,21,Class2,,,,22,,public,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SMALL_1.1,,,No
Attribute,23,var1,,,,23,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,22,Class2,No
Attribute,24,var2,,,,24,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,22,Class2,No
Attribute,25,var3,,,,25,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,22,Class2,No
Attribute,26,v4,,,,26,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,22,Class2,No
Class,27,Class1,,,,28,,public,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,SMALL_1.1,,,No
Attribute,29,var1,,,,29,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,28,Class1,No
Attribute,30,var2,,,,30,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,28,Class1,No
Attribute,31,v3,,,,31,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,28,Class1,No
Attribute,32,v4,,,,32,,private,No,,,,,,,,Unspecified,,instance,None,No,Yes,No,No,Yes,,,,,,,,,,,,,,,,2,SMALL_1.1,28,Class1,No
Generalization,33,,,,,34,,Unspecified,,,,,,,,,,,,,,,,,,,12,21,No,,,,,,,,,,,,2,SMALL_1.1,35,Generalization,No
Association,36,,,,,37,,Unspecified,No,No,,,,,,,,,,,No,,,,,,,,,7,,Unspecified,True,None,21,,Unspecified,True,None,,2,SMALL_1.1,38,Association,No
Association,39,,,,,40,,Unspecified,No,No,,,,,,,,,,,No,,,,,,,,,21,,Unspecified,True,None,3,,Unspecified,True,None,,2,SMALL_1.1,38,Association,No
Generalization,41,,,,,42,,Unspecified,,,,,,,,,,,,,,,,,,,12,27,No,,,,,,,,,,,,2,SMALL_1.1,35,Generalization,No
